instancia,sem_tempo,sem_tamanho,sem_densidade,p1_tempo,p1_tamanho,p1_densidade,p2_tempo,p2_tamanho,p2_densidade,p3_tempo,p3_tamanho,p3_densidade
"Frinhani, Carvalho & Soma\Random-1000-1000-48-6",0.000,(1000;451550),0.904,1.615,(1000;451550),0.904,0.258,(1000;451550),0.904,0.206,(1000;451550),0.904
"Frinhani, Carvalho & Soma\Random-1000-1000-48-7",0.000,(1000;449197),0.899,1.590,(1000;449197),0.899,0.226,(1000;449197),0.899,0.205,(1000;449197),0.899
"Frinhani, Carvalho & Soma\Random-1000-1000-48-8",0.000,(1000;450684),0.902,1.557,(1000;450684),0.902,0.239,(1000;450684),0.902,0.224,(1000;450684),0.902
"Frinhani, Carvalho & Soma\Random-1000-1000-48-9",0.000,(1000;451398),0.904,1.852,(1000;451398),0.904,0.252,(1000;451398),0.904,0.250,(1000;451398),0.904
"Frinhani, Carvalho & Soma\Random-1000-1000-50-1",0.000,(1000;458251),0.917,2.098,(1000;458251),0.917,0.300,(1000;458251),0.917,0.206,(1000;458251),0.917
"Frinhani, Carvalho & Soma\Random-1000-1000-50-10",0.000,(1000;457745),0.916,1.863,(1000;457745),0.916,0.238,(1000;457745),0.916,0.209,(1000;457745),0.916
"Frinhani, Carvalho & Soma\Random-1000-1000-50-2",0.000,(1000;457955),0.917,2.131,(1000;457955),0.917,0.301,(1000;457955),0.917,0.233,(1000;457955),0.917
"Frinhani, Carvalho & Soma\Random-1000-1000-50-3",0.000,(1000;458380),0.918,2.070,(1000;458380),0.918,0.274,(1000;458380),0.918,0.235,(1000;458380),0.918
"Frinhani, Carvalho & Soma\Random-1000-1000-50-4",0.000,(1000;457545),0.916,1.903,(1000;457545),0.916,0.244,(1000;457545),0.916,0.257,(1000;457545),0.916
"Frinhani, Carvalho & Soma\Random-1000-1000-50-5",0.000,(1000;458776),0.918,1.856,(1000;458776),0.918,0.245,(1000;458776),0.918,0.224,(1000;458776),0.918
"Frinhani, Carvalho & Soma\Random-1000-1000-50-6",0.000,(1000;457108),0.915,2.113,(1000;457108),0.915,0.249,(1000;457108),0.915,0.213,(1000;457108),0.915
"Frinhani, Carvalho & Soma\Random-1000-1000-50-7",0.000,(1000;459426),0.920,2.271,(1000;459426),0.920,0.239,(1000;459426),0.920,0.228,(1000;459426),0.920
"Frinhani, Carvalho & Soma\Random-1000-1000-50-8",0.000,(1000;459235),0.919,2.240,(1000;459235),0.919,0.262,(1000;459235),0.919,0.239,(1000;459235),0.919
